Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
23,133 = 140,513001828,69,566,74.4,C
23,133 = 140,512903135,69,566,74.4,C
23,141 = 148,512508493,68,561,72.97,C
23,141 = 148,512510825,68,561,72.97,C
23,141 = 148,513001382,68,561,72.97,C
23,141 = 148,512702854,68,561,72.97,C
23,141 = 148,513000479,68,561,72.97,C
23,141 = 148,512502997,68,561,72.97,C
23,141 = 148,513101355,68,561,72.97,C
23,141 = 148,512800676,68,561,72.97,C
23,149 = 158,512700029,67,557,71.79,C
23,149 = 158,512500922,67,557,71.79,C
23,149 = 158,512500813,67,557,71.79,C
23,149 = 158,512802680,67,557,71.79,C
23,149 = 158,512701345,67,557,71.79,C
23,149 = 158,512506551,67,557,71.79,C
23,149 = 158,512804286,67,557,71.79,C
23,149 = 158,513001845,67,557,71.79,C
23,149 = 158,513104575,67,557,71.79,C
23,149 = 158,513104932,67,557,71.79,C
23,159 = 167,513105274,66,553,70.07,C
23,159 = 167,513105451,66,553,70.07,C
23,159 = 167,513103472,66,553,70.07,C
23,159 = 167,512802819,66,553,70.07,C
23,159 = 167,512503468,66,553,70.07,C
23,159 = 167,512802727,66,553,70.07,C
23,159 = 167,512901402,66,553,70.07,C
23,159 = 167,512501444,66,553,70.07,C
23,159 = 167,512900203,66,553,70.07,C
23,168 = 180,512800226,65,548,68.35,C-
23,168 = 180,512801424,65,548,68.35,C-
23,168 = 180,512801006,65,548,68.35,C-
23,168 = 180,512900408,65,548,68.35,C-
23,168 = 180,513000911,65,548,68.35,C-
23,168 = 180,512402014,65,548,68.35,C-
23,168 = 180,512502877,65,548,68.35,C-
23,168 = 180,513000572,65,548,68.35,C-
23,168 = 180,512701141,65,548,68.35,C-
23,168 = 180,512510707,65,548,68.35,C-
23,168 = 180,512511647,65,548,68.35,C-
23,168 = 180,513104028,65,548,68.35,C-
23,168 = 180,513104825,65,548,68.35,C-
23,181 = 190,513105128,64,543,66.67,C-
23,181 = 190,512600412,64,543,66.67,C-
23,181 = 190,512402324,64,543,66.67,C-
23,181 = 190,512403144,64,543,66.67,C-
23,181 = 190,512801838,64,543,66.67,C-
23,181 = 190,512503061,64,543,66.67,C-
23,181 = 190,512702141,64,543,66.67,C-
23,181 = 190,513001002,64,543,66.67,C-
23,181 = 190,513100051,64,543,66.67,C-
23,181 = 190,512500446,64,543,66.67,C-
23,191 = 202,512800747,63,539,65.11,C-
23,191 = 202,512800304,63,539,65.11,C-
23,191 = 202,512800309,63,539,65.11,C-
23,191 = 202,512400262,63,539,65.11,C-
23,191 = 202,512700734,63,539,65.11,C-
23,191 = 202,512400899,63,539,65.11,C-
23,191 = 202,512503211,63,539,65.11,C-
23,191 = 202,512701683,63,539,65.11,C-
23,191 = 202,512501874,63,539,65.11,C-
23,191 = 202,512505321,63,539,65.11,C-
23,191 = 202,512903840,63,539,65.11,C-
23,191 = 202,512903785,63,539,65.11,C-
23,203 = 215,512902943,62,534,63.37,C-
23,203 = 215,513102222,62,534,63.37,C-
23,203 = 215,512803601,62,534,63.37,C-
23,203 = 215,513001304,62,534,63.37,C-
23,203 = 215,512504333,62,534,63.37,C-
23,203 = 215,512502042,62,534,63.37,C-
23,203 = 215,512501851,62,534,63.37,C-
23,203 = 215,513101666,62,534,63.37,C-
23,203 = 215,512502429,62,534,63.37,C-
23,203 = 215,512502828,62,534,63.37,C-
23,203 = 215,512401031,62,534,63.37,C-
23,203 = 215,512900053,62,534,63.37,C-
23,203 = 215,512400494,62,534,63.37,C-
23,216 = 226,512800752,61,530,61.6,C-
23,216 = 226,513000017,61,530,61.6,C-
23,216 = 226,512501031,61,530,61.6,C-
23,216 = 226,512901446,61,530,61.6,C-
23,216 = 226,512901933,61,530,61.6,C-
23,216 = 226,512506091,61,530,61.6,C-
23,216 = 226,512403634,61,530,61.6,C-
23,216 = 226,512506527,61,530,61.6,C-
23,216 = 226,512404590,61,530,61.6,C-
